timestamp,slotA
371988,142031.0
371999,142098.0
372010,141971.0
372022,141957.0
372033,141903.0
372044,141867.0
372055,142173.0
372066,142172.0
372077,142284.0
372089,142334.0
372100,142186.0
372111,142331.0
372122,142408.0
372133,142386.0
372144,142421.0
372156,142413.0
372167,142352.0
372178,142118.0
372189,142208.0
372200,141886.0
372211,142028.0
372222,141903.0
372234,141819.0
372245,141905.0
372256,141648.0
372267,141469.0
372278,141524.0
372289,141595.0
372301,142063.0
372312,142591.0
372323,143018.0
372334,143445.0
372345,143881.0
372356,143864.0
372367,143946.0
372379,144089.0
372390,144015.0
372401,144150.0
372412,144074.0
372423,144002.0
372440,143830.0
372445,143828.0
372457,143877.0
372468,143872.0
372479,143718.0
372490,143604.0
372501,143483.0
372512,143361.0
372524,143171.0
372540,142907.0
372546,142768.0
372557,142543.0
372568,142413.0
372579,142307.0
372591,142505.0
372602,142308.0
372613,142450.0
372624,142264.0
372639,142427.0
372646,142466.0
372657,142640.0
372669,142730.0
372680,142756.0
372691,142643.0
372702,142809.0
372713,142592.0
372724,142455.0
372740,142586.0
372747,142670.0
372758,142430.0
372769,142575.0
372780,142547.0
372791,142461.0
372802,142352.0
372814,142355.0
372825,142370.0
372840,142566.0
372847,142690.0
372858,143214.0
372869,143708.0
372881,143799.0
372892,144132.0
372903,144417.0
372914,144566.0
372925,144722.0
372940,144901.0
372947,145003.0
372959,144970.0
372970,145149.0
372981,144976.0
372992,144971.0
373003,144774.0
373014,144684.0
373026,144659.0
373040,144549.0
373048,144374.0
373059,144339.0
373070,144211.0
373081,143956.0
373093,143924.0
373104,143802.0
373115,143757.0
373126,143673.0
373140,143673.0
373148,143710.0
373160,143746.0
373171,143640.0
373182,143802.0
373193,143739.0
373204,143833.0
373215,143889.0
373226,143949.0
373240,143945.0
373249,143907.0
373260,143838.0
373271,143818.0
373282,143844.0
373293,143853.0
373305,143962.0
373316,143796.0
373327,143565.0
373339,143668.0
373349,143567.0
373360,143589.0
373371,143367.0
373383,143394.0
373394,143797.0
373405,144081.0
373416,144663.0
373427,145062.0
373440,145525.0
373449,145765.0
373461,145931.0
373472,146208.0
373483,146219.0
373494,146429.0
373505,146529.0
373516,146490.0
373528,146556.0
373540,146360.0
373550,146421.0
373561,146268.0
373572,146300.0
373583,146121.0
373594,146081.0
373606,145799.0
373617,145715.0
373628,145489.0
373640,145454.0
373650,145425.0
373661,145328.0
373673,145219.0
373684,145152.0
373695,145145.0
373706,145279.0
373717,145156.0
373728,145276.0
373740,145264.0
373751,145340.0
373762,145334.0
373773,145482.0
373784,145424.0
373795,145470.0
373807,145407.0
373818,145303.0
373829,145294.0
373840,145191.0
373851,145163.0
373862,145171.0
373873,145059.0
373885,145005.0
373896,144892.0
373907,144681.0
373918,144623.0
373929,144570.0
373940,144753.0
373951,144929.0
373963,145843.0
373974,145891.0
373985,146361.0
373996,146705.0
374007,147096.0
374018,147326.0
374030,147516.0
374041,147693.0
374052,147797.0
374063,147769.0
374074,147765.0
374085,147869.0
374096,147866.0
374108,147838.0
374119,147654.0
374130,147555.0
374141,147571.0
374152,147443.0
374163,147257.0
374175,147227.0
374186,147023.0
374197,146972.0
374208,146745.0
374219,146788.0
374230,146636.0
374242,146656.0
374253,146572.0
374264,146490.0
374275,146528.0
374286,146691.0
374297,146580.0
374309,146646.0
374320,146626.0
374331,146599.0
374342,146671.0
374353,146563.0
374364,146604.0
374375,146479.0
374387,146378.0
374398,146398.0
374409,146218.0
374420,146291.0
374431,145930.0
374442,146097.0
374453,145851.0
374465,145629.0
374476,145532.0
374487,145310.0
374498,145121.0
374509,145010.0
374520,144816.0
374532,144893.0
374543,144506.0
374554,145535.0
374565,146286.0
374576,146778.0
374587,147317.0
374598,147184.0
374610,147974.0
374621,148104.0
374632,148339.0
374643,148243.0
374654,148293.0
374666,148360.0
374677,148283.0
374688,148225.0
374699,148197.0
374710,148135.0
374721,148025.0
374732,147777.0
374744,147753.0
374755,147721.0
374766,147436.0
374777,147329.0
374788,147162.0
374799,146975.0
374811,146758.0
374822,146789.0
374833,146643.0
374844,147368.0
374855,146698.0
374866,146769.0
374877,146684.0
374889,146579.0
374900,146870.0
374911,146874.0
374922,146761.0
374933,146647.0
374944,146725.0
374955,146637.0
374967,146653.0
374978,146660.0
374989,146310.0
375000,146322.0
375011,146256.0
375022,146257.0
375034,146108.0
375045,145816.0
375056,145822.0
375067,145741.0
375078,145694.0
375089,145467.0
375101,145248.0
375112,145229.0
375123,145038.0
375134,144998.0
375145,144759.0
375156,144753.0
375168,144944.0
375179,145617.0
375190,146107.0
375201,146672.0
375212,147286.0
375223,147502.0
375240,147885.0
375246,147992.0
375257,148287.0
375268,148121.0
375279,148336.0
375290,148358.0
375301,148343.0
375313,148174.0
375324,147967.0
375340,148135.0
375346,147994.0
375357,147969.0
375368,147833.0
375379,147708.0
375391,147501.0
375402,147327.0
375413,147345.0
375424,147136.0
375440,147055.0
375446,147006.0
375458,146882.0
375469,147021.0
375480,146935.0
375491,146936.0
375502,147081.0
375513,147048.0
375524,146976.0
375539,147062.0
375547,147033.0
375558,147162.0
375569,147019.0
375580,147145.0
375591,147040.0
375603,146881.0
375614,146783.0
375625,146861.0
375640,146831.0
375647,146642.0
375658,146372.0
375669,146512.0
375681,146363.0
375692,146082.0
375703,146058.0
375714,145990.0
375725,145936.0
375739,145705.0
375747,145715.0
375759,145587.0
375770,145552.0
375781,145501.0
375792,145386.0
375803,144912.0
375814,145247.0
375826,145571.0
375840,146194.0
375848,146417.0
375859,147064.0
375870,147506.0
375881,147632.0
375892,147865.0
375904,148007.0
375915,148220.0
375926,148338.0
375939,148289.0
375948,148284.0
375959,148320.0
375971,148361.0
375982,148192.0
375993,148247.0
376004,148051.0
376015,147929.0
376026,147707.0
376040,147688.0
376049,147522.0
376060,147245.0
376071,147168.0
376082,146993.0
376093,146934.0
376105,146764.0
376116,146784.0
376127,146839.0
376140,146663.0
376149,146917.0
376160,146823.0
376171,146992.0
376183,146872.0
376194,146919.0
376205,146988.0
376216,146731.0
376227,147018.0
376240,146681.0
376249,146675.0
376261,146660.0
376272,146633.0
376283,146731.0
376294,146496.0
376305,146321.0
376316,146304.0
376328,146238.0
376340,146028.0
376350,145848.0
376361,145767.0
376372,145767.0
376383,145658.0
376394,145319.0
376406,145216.0
376417,144989.0
376428,144888.0
376440,144910.0
376450,144942.0
376461,145372.0
376473,145841.0
376484,146457.0
376495,146877.0
376506,147253.0
376517,147630.0
376528,147750.0
376540,147893.0
376551,147974.0
376562,147974.0
376573,147998.0
376584,148051.0
376595,147957.0
376607,147908.0
376618,147883.0
376629,147775.0
376640,147602.0
376651,147483.0
376662,147328.0
376673,147220.0
376685,147074.0
376696,146916.0
376707,146739.0
376718,146574.0
376729,146550.0
376740,146655.0
376751,146664.0
376763,146726.0
376774,146625.0
376785,146705.0
376796,146783.0
376807,146866.0
376818,146876.0
376829,146692.0
376841,146808.0
376852,146733.0
376863,146726.0
376874,146697.0
376885,146573.0
376896,146593.0
376908,146404.0
376919,146390.0
376930,146234.0
376941,146240.0
376952,146321.0
376963,146193.0
376975,146122.0
376986,145980.0
376997,146083.0
377008,145807.0
377019,145774.0
377030,145785.0
377042,145909.0
377053,146304.0
377064,146467.0
377075,146887.0
377086,147234.0
377097,147738.0
377109,147651.0
377120,148055.0
377131,148304.0
377142,148751.0
377153,148382.0
377164,148541.0
377175,148542.0
377187,148500.0
377198,148232.0
377209,148391.0
377220,148396.0
377231,148137.0
377242,148356.0
377253,148135.0
377265,147889.0
377276,147825.0
377287,147685.0
377298,147732.0
377309,147420.0
377320,147660.0
377331,147451.0
377343,147536.0
377354,147405.0
377365,147378.0
377376,147512.0
377387,147497.0
377398,147517.0
377410,147548.0
377421,147569.0
377432,147436.0
377443,147552.0
377454,147312.0
377465,147329.0
377477,147400.0
377488,147183.0
377499,147191.0
377510,147077.0
377521,147045.0
377532,146999.0
377543,146837.0
377555,146789.0
377566,146663.0
377577,146313.0
377588,146610.0
377599,146750.0
377610,147091.0
377622,147326.0
377633,147794.0
377644,148048.0
377655,148250.0
377666,148584.0
