timestamp,slotA,slotB
66216,83275,83537
66221,83784,83665
66227,83652,83780
66232,83845,83799
66238,84028,83846
66244,84167,83814
66249,83994,83910
66255,83915,83618
66260,84127,84255
66266,84592,83837
66272,83993,84104
66277,84334,83803
66283,84562,84163
66288,84469,84143
66294,84536,84073
66299,84627,84218
66307,84663,84811
66311,85001,84867
66316,84733,85102
66322,84902,85098
66327,85043,85029
66333,85159,84932
66338,85491,85190
66344,85125,84990
66350,84921,85365
66355,85562,85572
66361,85259,85245
66367,85890,85070
66372,85491,85266
66378,85848,85542
66383,85601,85102
66389,85372,85180
66394,85258,84952
66400,85148,85200
66407,84833,85063
66411,84637,85106
66417,84667,84136
66422,84487,84278
66428,83875,84416
66433,83441,83996
66439,83349,83217
66445,83017,83309
66450,82839,82691
66456,82307,82539
66461,82325,81833
66467,81956,81915
66473,81922,81226
66478,81503,81352
66484,81255,80786
66489,80785,80501
66495,81283,80814
66500,81187,80562
66507,80836,80264
66512,80445,80257
66517,80309,80277
66523,80241,80114
66528,80298,79990
66534,79860,80060
66539,80325,80079
66545,80042,80237
66551,80232,80103
66556,79749,80336
66562,79978,80114
66567,79615,80132
66573,79866,79888
66579,79993,79742
66584,80127,79772
66590,80148,79848
66595,79962,79872
66601,80217,79692
66607,80008,79898
66612,79859,79942
66618,80394,79923
66623,79836,79994
66629,79832,79513
66634,79919,80029
66640,79998,79916
66646,79823,79596
66651,80059,79959
66657,80167,79785
66662,79947,79868
66668,80554,80180
66674,79987,80077
66679,80130,80077
66685,80458,80041
66690,80111,80465
66696,80290,80099
66707,80311,79810
66707,80115,80149
66713,80338,80155
66718,80396,80199
66724,80411,80102
66729,80564,80032
66735,80205,80204
66740,80316,80185
66746,80132,80416
66752,79972,80121
66757,80475,80174
66763,80516,79864
66768,80544,80331
66774,80465,80188
66780,80527,80309
66785,80799,79970
66791,80642,80205
66796,80733,80676
66807,80748,80128
66808,80781,80907
66813,80615,80370
66819,80456,80603
66824,80793,80669
66830,80624,80593
66835,80849,80756
66841,80704,80771
66846,80865,81229
66852,80960,80992
66858,81348,81075
66863,80885,81029
66869,81137,81173
66875,81260,81161
66880,81589,81276
66886,81637,81278
66891,81628,81426
66897,81413,81446
66907,81955,81074
66908,81731,81551
66914,81883,81802
66919,81981,81655
66925,82021,81909
66930,82053,81907
66936,82052,81882
66941,81901,82315
66947,81931,82599
66953,81811,82563
66958,82265,82165
66964,82201,82515
66969,82782,82378
66975,82605,82555
66981,83083,82675
66986,82805,82738
66992,83155,82603
66997,83152,82761
67007,83082,82885
67008,83137,82888
67014,83345,82836
67020,83291,83226
67025,83125,82644
67031,83342,83157
67036,83545,83080
67042,83758,83315
67047,83395,83419
67053,83645,83926
67059,83686,83926
67064,83825,83931
67070,83673,83754
67076,83536,83922
67081,84064,83888
67087,84327,84373
67092,84246,84258
67098,84430,84563
67107,84753,84334
67109,84894,84397
67115,84792,84221
67120,84678,84656
67126,85282,84868
67131,84998,84891
67137,85158,84885
67142,85135,84852
67148,84964,84965
67154,85156,85070
67159,85579,85056
67165,85389,85393
67170,85309,85241
67176,85145,85515
67181,85569,85632
67187,85668,85526
67193,85920,85717
67198,85612,86022
67207,85817,86240
67209,85384,85982
67215,86204,85869
67221,85862,85732
67226,85621,85877
67232,85809,85697
67237,85514,85603
67243,85401,85562
67249,84876,84985
67254,84845,84559
67260,84664,84363
67265,83972,83884
67271,83670,83805
67276,83887,83545
67282,83397,83207
67288,83033,82709
67293,82722,82588
67299,82522,82541
67307,82086,82098
67310,82126,81974
67315,82187,81877
67321,81946,82129
67327,81590,81802
67332,81527,81603
67338,81292,81149
67343,81517,81765
67349,81625,81512
67355,81458,81374
67360,81180,81151
67366,81015,81280
67371,81377,81080
67377,81544,81254
67382,81420,81254
67388,81197,81191
67394,81400,81075
67399,81804,80813
67406,81383,80900
67410,81230,80981
67416,81266,81328
67422,81287,81280
67427,81278,81035
67433,81411,80953
67438,81046,81076
67444,81197,81075
67450,81176,80946
67455,81274,80941
67461,81092,81335
